ILCE,MAHALLE,Ortalama_Tuketim,Standart_Sapma,Yaz_Ortalama,Kis_Ortalama,Yazlikci_Skoru,Kume_No,Segment_Adi
KEMALPAŞA,OVACIK,"12,34","21,05","7,31","5,65","1,29",1,Standart Sakinler
KEMALPAŞA,OVADAMLARI,"6,60","5,90","22,95","15,88","1,45",1,Standart Sakinler
KEMALPAŞA,SARILAR,"20,36","15,68","26,67","17,88","1,49",1,Standart Sakinler
KEMALPAŞA,SARIÇALI,"22,20","12,56","28,79","16,75","1,72",1,Standart Sakinler
KEMALPAŞA,SEKİZ EYLÜL,"11,77","3,28","12,40","11,18","1,11",1,Standart Sakinler
KEMALPAŞA,SOĞUKPINAR,"10,87","3,82","11,66","9,82","1,19",1,Standart Sakinler
KEMALPAŞA,SÜTÇÜLER,"15,79","7,00","18,20","12,80","1,42",1,Standart Sakinler
KEMALPAŞA,SİNANCILAR,"19,47","10,69","25,90","16,55","1,57",1,Standart Sakinler
KEMALPAŞA,ULUCAK CUMHURİYET,"12,12","6,65","12,18","10,48","1,16",1,Standart Sakinler
KEMALPAŞA,ULUCAK MUSTAFA KEMAL ATATÜRK,"12,17","5,92","12,69","10,31","1,23",1,Standart Sakinler
KEMALPAŞA,ULUCAK İSTİKLAL,"11,91","4,09","13,07","10,19","1,28",1,Standart Sakinler
KEMALPAŞA,VİŞNELİ,"20,27","16,18","23,87","14,70","1,62",1,Standart Sakinler
KEMALPAŞA,YENMİŞ,"20,42","10,47","24,64","14,83","1,66",1,Standart Sakinler
KEMALPAŞA,YENİKURUDERE,"16,51","12,07","18,52","16,56","1,12",1,Standart Sakinler
KEMALPAŞA,YEŞİLKÖY,"20,83","11,70","27,81","14,59","1,91",0,Yazlıkçı / Mevsimsel
KEMALPAŞA,YEŞİLYURT,"20,53","9,45","25,63","16,81","1,52",1,Standart Sakinler
KEMALPAŞA,YUKARIKIZILCA MERKEZ,"13,70","6,16","17,54","10,65","1,65",1,Standart Sakinler
KEMALPAŞA,YİĞİTLER,"21,20","15,21","22,85","17,43","1,31",1,Standart Sakinler
KEMALPAŞA,ZEAMET,"10,61","6,17","14,44","8,45","1,71",1,Standart Sakinler
KEMALPAŞA,ÇAMBEL,"25,42","22,14","29,77","20,56","1,45",1,Standart Sakinler
KEMALPAŞA,ÇINARKÖY,"18,62","10,42","21,79","17,03","1,28",1,Standart Sakinler
KEMALPAŞA,ÇİNİLİKÖY,"71,96","70,35","108,48","34,44","3,15",0,Yazlıkçı / Mevsimsel
KEMALPAŞA,ÖREN 75.YIL CUMHURİYET,"12,16","3,50","14,10","10,80","1,31",1,Standart Sakinler
KEMALPAŞA,ÖREN EGEMEN,"11,93","3,83","14,16","10,24","1,38",1,Standart Sakinler
KEMALPAŞA,ÖRNEKKÖY,"23,42","50,04","39,57","11,64","3,40",0,Yazlıkçı / Mevsimsel
KINIK,ARPADERE,"13,80","5,45","14,63","12,96","1,13",1,Standart Sakinler
KINIK,ARPASEKİ,"19,23","8,69","23,27","14,04","1,66",1,Standart Sakinler
KINIK,AZİZİYE,"17,00","7,25","24,06","12,08","1,99",0,Yazlıkçı / Mevsimsel
KINIK,AŞAĞI,"14,01","14,20","17,09","11,56","1,48",1,Standart Sakinler
KINIK,BADEMALAN,"21,47","14,46","30,74","11,95","2,57",0,Yazlıkçı / Mevsimsel
KINIK,BALABAN,"15,94","7,63","22,63","10,31","2,20",0,Yazlıkçı / Mevsimsel
KINIK,BAĞALAN,"16,66","9,83","24,92","11,43","2,18",0,Yazlıkçı / Mevsimsel
KINIK,BÜYÜKOBA,"21,94","15,80","34,34","12,65","2,71",0,Yazlıkçı / Mevsimsel
KINIK,CUMALI,"17,59","7,53","23,02","12,47","1,85",0,Yazlıkçı / Mevsimsel
KINIK,DEĞİRMENCİELİ,"18,89","7,71","24,71","14,76","1,67",1,Standart Sakinler
KINIK,DÜNDARLI,"24,60","55,58","24,77","14,85","1,67",0,Yazlıkçı / Mevsimsel
KINIK,ELMADERE,"24,26","14,33","34,23","15,37","2,23",0,Yazlıkçı / Mevsimsel
KINIK,FATİH,"17,06","20,49","23,97","14,09","1,70",1,Standart Sakinler
KINIK,HAMZAHOCALI,"20,19","20,62","31,95","10,87","2,94",0,Yazlıkçı / Mevsimsel
KINIK,IŞIKLAR,"17,00","7,76","23,80","11,35","2,10",0,Yazlıkçı / Mevsimsel
KINIK,KALEMKÖY,"18,48","7,33","22,31","16,03","1,39",1,Standart Sakinler
KINIK,KARADERE,"9,83","4,88","12,19","7,97","1,53",1,Standart Sakinler
KINIK,KARATEKELİ,"24,95","13,97","36,92","15,99","2,31",0,Yazlıkçı / Mevsimsel
KINIK,KOCAÖMER,"18,24","20,25","23,24","11,13","2,09",0,Yazlıkçı / Mevsimsel
KINIK,KODUKBURUN,"6,09","3,21","7,88","4,03","1,96",1,Standart Sakinler
KINIK,KÖSELER,"11,17","4,32","13,51","8,35","1,62",1,Standart Sakinler
KINIK,MISTIKLAR,"11,46","6,52","14,06","6,88","2,04",0,Yazlıkçı / Mevsimsel
KINIK,MUSACALI,"19,29","9,00","25,68","14,61","1,76",1,Standart Sakinler
KINIK,OSMANİYE,"13,44","11,26","16,31","11,32","1,44",1,Standart Sakinler
KINIK,POYRACIK,"17,03","16,16","17,85","17,91","1,00",1,Standart Sakinler
KINIK,SUCAHLI,"25,42","25,29","30,49","15,03","2,03",0,Yazlıkçı / Mevsimsel
KINIK,TAŞTEPE,"25,12","10,84","36,10","16,99","2,12",0,Yazlıkçı / Mevsimsel
KINIK,TÜRKCEDİT,"13,67","12,05","15,00","11,39","1,32",1,Standart Sakinler
KINIK,YAYAKENT,"18,39","15,20","20,66","17,34","1,19",1,Standart Sakinler
KINIK,YAYLAKÖY,"11,49","10,71","17,60","7,62","2,31",0,Yazlıkçı / Mevsimsel
KINIK,YENİ,"13,69","10,10","16,64","11,33","1,47",1,Standart Sakinler
KINIK,YUKARI,"13,80","9,65","16,67","13,24","1,26",1,Standart Sakinler
KINIK,ÇALTI,"20,69","11,74","27,92","12,59","2,22",0,Yazlıkçı / Mevsimsel
KINIK,ÇANKÖY,"12,62","5,48","16,52","9,16","1,80",1,Standart Sakinler
KINIK,ÇİFTLİKKÖY,"18,82","9,28","24,91","11,28","2,21",0,Yazlıkçı / Mevsimsel
KINIK,ÖRTÜLÜ,"11,72","4,78","14,91","9,45","1,58",1,Standart Sakinler
KINIK,İBRAHİMAĞA,"9,81","4,22","12,30","6,93","1,77",1,Standart Sakinler
KONAK,1.KADRİYE,"13,57","4,40","15,28","11,82","1,29",1,Standart Sakinler
KONAK,19 Mayıs,"13,22","4,81","15,31","11,36","1,35",1,Standart Sakinler
KONAK,2.KADRİYE,"13,97","5,90","15,23","12,20","1,25",1,Standart Sakinler
KONAK,26 Ağustos,"11,80","3,19","13,81","10,94","1,26",1,Standart Sakinler
KONAK,AKARCALI,"12,65","3,17","14,48","11,24","1,29",1,Standart Sakinler
KONAK,AKDENİZ,"24,90","12,27","26,72","22,60","1,18",1,Standart Sakinler
KONAK,AKIN SİMAV,"9,93","4,29","10,04","9,03","1,11",1,Standart Sakinler
KONAK,AKINCI,"13,84","7,15","15,71","12,10","1,30",1,Standart Sakinler
KONAK,ALSANCAK,"11,90","5,65","11,33","11,08","1,02",1,Standart Sakinler
KONAK,ALTAY,"12,82","6,29","14,34","10,85","1,32",1,Standart Sakinler
KONAK,ALTINORDU,"12,74","2,93","14,62","11,22","1,30",1,Standart Sakinler
KONAK,ALTINTAŞ,"9,76","5,25","9,66","8,64","1,12",1,Standart Sakinler
KONAK,ALİ REİS,"13,99","3,63","15,92","12,44","1,28",1,Standart Sakinler
KONAK,ANADOLU,"12,18","3,15","13,69","11,58","1,18",1,Standart Sakinler
KONAK,ATAMER,"13,78","6,01","15,13","12,78","1,18",1,Standart Sakinler
KONAK,ATİLLA,"10,24","6,40","10,13","8,84","1,15",1,Standart Sakinler
KONAK,AZİZİYE,"14,00","6,02","15,09","11,70","1,29",1,Standart Sakinler
KONAK,BALLIKUYU,"14,51","4,02","16,81","12,47","1,35",1,Standart Sakinler
KONAK,BARBAROS,"9,99","5,81","10,04","8,60","1,17",1,Standart Sakinler
KONAK,BOZKURT,"11,33","2,81","12,79","10,32","1,24",1,Standart Sakinler
KONAK,BOĞAZİÇİ,"12,57","3,20","14,37","11,75","1,22",1,Standart Sakinler
KONAK,CENGİZ TOPEL,"11,96","3,02","13,58","11,02","1,23",1,Standart Sakinler
KONAK,DAYIEMİR,"13,21","5,59","14,34","11,39","1,26",1,Standart Sakinler
KONAK,DOLAPLIKUYU,"13,80","4,61","15,49","12,20","1,27",1,Standart Sakinler
KONAK,DUATEPE,"13,13","4,39","14,76","11,61","1,27",1,Standart Sakinler
KONAK,EGE,"12,27","5,09","13,31","12,13","1,10",1,Standart Sakinler
KONAK,EMİR SULTAN,"15,45","4,82","18,57","13,46","1,38",1,Standart Sakinler
KONAK,ETİLER,"14,52","4,04","16,82","12,72","1,32",1,Standart Sakinler
KONAK,FATİH,"12,06","7,20","13,03","9,82","1,33",1,Standart Sakinler
KONAK,FAİK PAŞA,"14,71","3,56","17,25","13,01","1,33",1,Standart Sakinler
KONAK,FERAHLI,"13,26","3,26","15,11","12,35","1,22",1,Standart Sakinler
KONAK,FEVZİ PAŞA,"9,34","5,76","10,34","8,14","1,27",1,Standart Sakinler
KONAK,GÖZTEPE,"12,68","6,24","11,93","11,97","1,00",1,Standart Sakinler
KONAK,GÜNEY,"15,41","5,80","16,39","14,36","1,14",1,Standart Sakinler
